Condition,Force(kgf)
STD,15.658
STD,11.516
STD,14.668
STD,16.006
STD,15.593
STD,16.097
STD,15.303
STD,14.214
STD,16.666
STD,15.167
STD,15.418
STD,16.056
STD,15.443
STD,15.505
STD,16.002
STD,16.584
STD,16.222
STD,15.838
STD,16.086
STD,14.136
SEUV 5000 ,14.97
SEUV 5000 ,14.1
SEUV 5000 ,12.89
SEUV 5000 ,13.59
SEUV 5000 ,14.24
SEUV 5000 ,13.77
SEUV 5000 ,14.88
SEUV 5000 ,13.89
SEUV 5000 ,14.63
SEUV 5000 ,14.08
SEUV 5000 ,13.41
SEUV 5000 ,14.91
SEUV 5000 ,13.22
SEUV 5000 ,13.55
SEUV 5000 ,13.63
SEUV 5000 ,13.53
SEUV 5000 ,13.58
SEUV 5000 ,13.4
SEUV 5000 ,13.8
SEUV 5000 ,14.07
SEUV 5000 ,13.56
SEUV 5000 ,12.88
SEUV 5000 ,13.36
SEUV 5000 ,14.63
SEUV 5000 ,14.24
SEUV 5000 ,14.87
SEUV 5000 ,14.3
SEUV 5000 ,13.98
SEUV 5000 ,14.26
SEUV 5000 ,13.43
SEUV 7000 ,13.35
SEUV 7000 ,14.85
SEUV 7000 ,13.98
SEUV 7000 ,13.19
SEUV 7000 ,13.23
SEUV 7000 ,13.96
SEUV 7000 ,13.79
SEUV 7000 ,15.95
SEUV 7000 ,14.41
SEUV 7000 ,13.4
SEUV 7000 ,14.12
SEUV 7000 ,13.68
SEUV 7000 ,13.83
SEUV 7000 ,13.35
SEUV 7000 ,14.14
SEUV 7000 ,14.93
SEUV 7000 ,13.66
SEUV 7000 ,13.89
SEUV 7000 ,12.74
SEUV 7000 ,14.93
SEUV 7000 ,14.42
SEUV 7000 ,14.11
SEUV 7000 ,13.68
SEUV 7000 ,13.68
SEUV 7000 ,14.01
SEUV 7000 ,13.87
SEUV 7000 ,13.99
SEUV 7000 ,14.67
SEUV 7000 ,13.68
SEUV 7000 ,16.36
½¦¼e²Ê(> 600 um) ,13.19
½¦¼e²Ê(> 600 um) ,14.26
½¦¼e²Ê(> 600 um) ,14.82
½¦¼e²Ê(> 600 um) ,14.57
½¦¼e²Ê(> 600 um) ,13.66
½¦¼e²Ê(> 600 um) ,13.68
½¦¼e²Ê(> 600 um) ,13.36
½¦¼e²Ê(> 600 um) ,13.8
½¦¼e²Ê(> 600 um) ,16.14
½¦¼e²Ê(> 600 um) ,14.57
½¦¼e²Ê(> 600 um) ,14.54
½¦¼e²Ê(> 600 um) ,15.85
½¦¼e²Ê(> 600 um) ,15.6
½¦¼e²Ê(> 600 um) ,15.27
½¦¼e²Ê(> 600 um) ,16.32
½¦¼e²Ê(> 600 um) ,14.76
½¦¼e²Ê(> 600 um) ,13.49
½¦¼e²Ê(> 600 um) ,14.63
½¦¼e²Ê(> 600 um) ,13.62
½¦¼e²Ê(> 600 um) ,14.53
½¦¼e²Ê(> 600 um) ,14.94
½¦¼e²Ê(> 600 um) ,13.74
½¦¼e²Ê(> 600 um) ,13.57
½¦¼e²Ê(> 600 um) ,14.91
½¦¼e²Ê(> 600 um) ,13.38
½¦¼e²Ê(> 600 um) ,15.04
½¦¼e²Ê(> 600 um) ,14.28
½¦¼e²Ê(> 600 um) ,14.85
½¦¼e²Ê(> 600 um) ,14.16
½¦¼e²Ê(> 600 um) ,14.36
ODF to SEUV 120s,16.526
ODF to SEUV 120s,13.863
ODF to SEUV 120s,16.591
ODF to SEUV 120s,15.778
ODF to SEUV 120s,14.893
ODF to SEUV 120s,15.539
ODF to SEUV 120s,16.878
ODF to SEUV 120s,16.439
ODF to SEUV 120s,15.101
ODF to SEUV 120s,15.53
ODF to SEUV 120s,16.756
ODF to SEUV 120s,16.226
ODF to SEUV 120s,16.319
ODF to SEUV 120s,16.286
ODF to SEUV 120s,16.853
ODF to SEUV 120s,15.672
ODF to SEUV 120s,16.298
ODF to SEUV 120s,15.174
ODF to SEUV 120s,15.873
ODF to SEUV 120s,16.42
ODF to SEUV 160s,15.03
ODF to SEUV 160s,15.05
ODF to SEUV 160s,14.51
ODF to SEUV 160s,14.98
ODF to SEUV 160s,13.9
ODF to SEUV 160s,15.28
ODF to SEUV 160s,13.1
ODF to SEUV 160s,14.98
ODF to SEUV 160s,14.2
ODF to SEUV 160s,13.72
ODF to SEUV 160s,14.06
ODF to SEUV 160s,14.48
ODF to SEUV 160s,15.22
ODF to SEUV 160s,13.86
ODF to SEUV 160s,14.41
ODF to SEUV 160s,14.09
ODF to SEUV 160s,14.84
ODF to SEUV 160s,14.08
ODF to SEUV 160s,12.79
ODF to SEUV 160s,14.51
ODF to SEUV 160s,14.61
ODF to SEUV 160s,13.59
ODF to SEUV 160s,14
ODF to SEUV 160s,15.56
ODF to SEUV 160s,14.06
ODF to SEUV 160s,14.14
ODF to SEUV 160s,14.6
ODF to SEUV 160s,14.33
ODF to SEUV 160s,15.05
ODF to SEUV 160s,13.39
